country,country_code,has_ai_strategy,ai_strategy_year,ai_budget_eur_millions,has_edu_ai_strategy,ai_in_curriculum,ai_curriculum_type,teacher_ai_training_program,edu_ai_pilots,teachers_ai_usage_pct,ai_in_schools_access_pct,gov_ai_readiness_score,edu_policy_coverage,adoption_score,media_score,overall_score,adoption_method,notes
Germany,DE,1,2018,625.0,1,1.0,integrated,1,1,,44.0,76.78,0.8,1.0,0.15,0.9,partial,KMK AI guidelines 2024; Länder implementing AI curricula
Sweden,SE,1,2018,,1,1.0,standalone,1,1,,,69.45,1.0,0.75,0.35,0.88,proxy,AI standalone subject; 2025 digitalisation strategy
Netherlands,NL,1,2019,,1,0.5,piloting,1,1,,,77.18,0.7,1.0,0.3,0.85,proxy,2024 GenAI vision; piloting AI curriculum
Poland,PL,1,2020,,1,0.0,none,1,1,45.0,,69.14,0.6,0.97,0.1,0.78,partial,PLN 1.84B AI classrooms; Generation AI project
Estonia,EE,1,2019,31.7,1,1.0,integrated,1,1,,,69.56,0.8,0.75,0.0,0.78,proxy,AI Leap initiative; high school AI pilots; teacher training
Spain,ES,1,2020,500.0,1,1.0,integrated,1,1,,35.0,74.22,0.8,0.62,0.15,0.71,partial,Edu AI Index 1st; #CompDigEdu framework; AI-ENTR4YOUTH
Denmark,DK,1,2019,225.5,1,1.0,integrated,1,1,31.0,,74.75,0.8,0.53,0.3,0.66,partial,2024-2027 strategy; EUR 25.5M edu budget; AI in schools framework
Finland,FI,1,2017,200.0,1,1.0,integrated,1,1,27.0,,70.3,0.8,0.41,0.25,0.6,partial,Elements of AI MOOC; AI in new curriculum 2025
Austria,AT,1,2021,,0,0.0,none,1,0,,44.0,69.72,0.2,1.0,0.15,0.6,partial,Strategy reviewed 2024; DACH region 40% school AI access
Czechia,CZ,1,2019,,0,0.0,none,0,1,46.0,,64.56,0.2,1.0,0.15,0.6,partial,Strategy revised 2024; AI-ENTR4YOUTH participant; no state edu AI strategy
Romania,RO,1,2020,,0,0.0,none,0,1,46.0,43.0,56.73,0.2,0.98,0.25,0.59,measured,High teacher AI use; AI-ENTR4YOUTH
Malta,MT,1,2019,3.75,0,0.0,none,0,0,46.0,,61.48,0.0,1.0,0.0,0.5,partial,High teacher AI use; no formal edu AI strategy
Ireland,IE,1,2021,,0,0.0,none,1,0,,,70.58,0.2,0.79,1.0,0.5,proxy,2024 AI guidance; AI via digital literacy; no explicit curriculum
Portugal,PT,1,2019,,0,0.0,none,1,1,,,66.09,0.4,0.61,0.3,0.5,proxy,Digital Transition Plan; AI-ENTR4YOUTH
Italy,IT,1,2021,,1,0.5,piloting,1,1,25.0,25.0,68.81,0.7,0.28,0.2,0.49,measured,Edu AI Index 2nd; AI-ENTR4YOUTH; piloting AI curriculum
France,FR,1,2018,1000.0,1,1.0,integrated,1,1,14.0,20.0,77.31,0.8,0.0,0.1,0.4,measured,EUR 4B strategy; AI-ENTR4YOUTH; low teacher adoption
Belgium,BE,1,2019,153.5,0,0.0,none,1,0,31.5,,65.17,0.2,0.55,0.25,0.38,partial,Flemish 40% + French 23% teachers AI; Flanders EUR 35M policy + EUR 118.5M R&I
Slovenia,SI,1,2021,22.5,0,0.5,piloting,0,1,,,62.71,0.3,0.46,0.0,0.38,proxy,Piloting AI curriculum integration
Greece,GR,1,2021,,0,0.5,piloting,0,1,,29.0,60.51,0.3,0.38,0.5,0.34,partial,Piloting AI integration; AI-ENTR4YOUTH
Croatia,HR,1,2021,,1,1.0,standalone,0,0,,,49.79,0.6,0.0,0.0,0.3,proxy,AI standalone subject in curriculum
Lithuania,LT,1,2019,,0,0.0,none,0,0,,,65.31,0.0,0.57,0.0,0.28,proxy,AI observatory in development
Luxembourg,LU,1,2019,3.75,0,0.0,none,0,0,,,64.28,0.0,0.53,0.0,0.26,proxy,EUR 2.5-5M annually; best infrastructure
Slovakia,SK,1,2019,,0,0.0,none,0,0,29.0,,48.55,0.0,0.47,0.0,0.24,partial,29% teacher AI use; no edu AI strategy
Bulgaria,BG,1,2020,12.5,0,0.0,none,0,1,22.0,,56.6,0.2,0.25,0.0,0.22,partial,AI budget EUR 5-20M range; AI-ENTR4YOUTH participant
Cyprus,CY,1,2020,3.75,0,0.0,none,0,0,,,59.71,0.0,0.34,0.0,0.17,proxy,EUR 2.5-5M annually; updating strategy
Latvia,LV,1,2020,,0,0.0,none,0,0,,,59.14,0.0,0.31,0.0,0.16,proxy,No explicit AI in curriculum
Hungary,HU,1,2020,,0,0.0,none,0,0,23.0,,63.17,0.0,0.28,0.2,0.14,partial,No explicit AI in curriculum
